zero_shot_EN_f1_macro,zero_shot_PT_f1_macro,"zero_shot_EN,PT_f1_macro",one_shot_EN_f1_macro,one_shot_PT_f1_macro,"one_shot_EN,PT_f1_macro",zero_shot_GL_f1_macro,one_shot_GL_f1_macro,epoch,batch_size,learning_rate,tagged,pair_input,context,occurrences,max_seq_length,split_by_language,model_name_en,model_name_pt,model_name_gl,model_name_ml,model_id_en,model_id_pt,model_id_gl_0shot/1shot,model_id_ml
"0,807","0,677","0,772","0,922","0,911","0,921","0,683","0,663",7,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,350,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,756","0,678","0,740","0,909","0,922","0,916","0,594","0,654",8,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,350,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,728","0,673","0,722","0,934","0,876","0,915","0,522","0,548",9,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,793","0,726","0,783","0,919","0,892","0,911","0,683","0,597",7,16,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,793","0,698","0,767","0,896","0,911","0,904","0,594","0,584",9,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,400,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,791","0,706","0,773","0,895","0,911","0,904","0,651","0,625",9,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,799","0,705","0,774","0,905","0,884","0,900","0,683","0,675",8,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,796","0,687","0,771","0,879","0,922","0,899","0,644","0,654",4,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,757","0,667","0,740","0,900","0,876","0,895","0,647","0,536",9,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,769","0,710","0,763","0,903","0,867","0,894","0,629","0,634",5,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,281","0,361","0,313","0,886","0,891","0,891","0,406","0,720",7,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,300,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,768","0,659","0,743","0,882","0,895","0,891","0,637","0,516",6,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,350,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,740","0,683","0,736","0,889","0,875","0,889","0,569","0,707",9,16,"4,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-large-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,765","0,691","0,752","0,905","0,848","0,888","0,606","0,620",4,8,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,736","0,718","0,746","0,903","0,847","0,888","0,623","0,651",9,16,"4,00E-05",FALSE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-large-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,762","0,690","0,747","0,886","0,881","0,888","0,637","0,629",5,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,757","0,602","0,722","0,860","0,922","0,886","0,597","0,687",4,16,"4,00E-05",FALSE,TRUE,paragraph,first,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,767","0,699","0,757","0,895","0,861","0,886","0,647","0,637",9,32,"4,00E-05",FALSE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,750","0,669","0,736","0,895","0,862","0,886","0,623","0,629",9,16,"4,00E-05",TRUE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-large-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,763","0,701","0,754","0,891","0,860","0,885","0,585","0,637",9,32,"2,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,780","0,672","0,752","0,865","0,907","0,885","0,597","0,573",10,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,400,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,741","0,667","0,732","0,876","0,889","0,885","0,548","0,548",9,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,748","0,692","0,746","0,902","0,841","0,884","0,610","0,647",9,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,736","0,683","0,735","0,888","0,864","0,884","0,533","0,623",9,32,"2,00E-05",FALSE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,766","0,704","0,756","0,930","0,790","0,883","0,586","0,658",3,16,"4,00E-05",FALSE,TRUE,sentence,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,736","0,685","0,738","0,867","0,900","0,882","0,581","0,607",9,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-large-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,720","0,647","0,713","0,894","0,855","0,882","0,524","0,545",9,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
"0,767","0,729","0,763","0,859","0,906","0,880","0,651","0,692",9,16,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,753","0,667","0,739","0,880","0,873","0,880","0,581","0,545",9,32,"4,00E-05",TRUE,TRUE,paragraph,first,512,FALSE,-,-,-,bert,-,-,-,bert-base-multilingual-cased
