zero_shot_EN_f1_macro,zero_shot_PT_f1_macro,"zero_shot_EN,PT_f1_macro",one_shot_EN_f1_macro,one_shot_PT_f1_macro,"one_shot_EN,PT_f1_macro",epoch,batch_size,learning_rate,tagged,pair_input,context,occurrences,max_seq_length,split_by_language,model_name_en,model_name_pt,model_name_gl,model_name_ml,model_id_en,model_id_pt,model_id_gl 0shot|1shot,model_id_ml
"0,807","0,677","0,772","0,922","0,911","0,921",7,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,350,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,756","0,678","0,740","0,909","0,922","0,916",8,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,350,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,728","0,673","0,722","0,934","0,876","0,915",9,32,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,793","0,726","0,783","0,919","0,892","0,911",7,16,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,793","0,698","0,767","0,896","0,911","0,904",9,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,400,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-base
"0,791","0,706","0,773","0,895","0,911","0,904",9,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,799","0,705","0,774","0,905","0,884","0,900",8,8,"2,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,796","0,687","0,771","0,879","0,922","0,899",4,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
"0,757","0,667","0,740","0,900","0,876","0,895",9,32,"4,00E-05",FALSE,TRUE,paragraph,first,512,TRUE,bert,bert,bert,bert,bert-base-cased,neuralmind/bert-base-portuguese-cased,bert-base-multilingual-cased|dvilares/bertinho-gl-base-cased,bert-base-multilingual-cased
"0,769","0,710","0,763","0,903","0,867","0,894",5,16,"4,00E-05",TRUE,TRUE,paragraph,multiple,512,FALSE,-,-,-,roberta,-,-,-,xlm-roberta-large
